Taxa	Taxa Name	Number of Sites	Gametes Missing	Proportion Missing	Number Heterozygous	Proportion Heterozygous	Inbreeding Coefficient	Inbreeding Coefficient Scaled by Missing
0	801	3846	538	0.06994	0	0	Inbreeding Coefficient	ICSBM
1	991	3846	496	0.06448	0	0	Inbreeding Coefficient	ICSBM
2	1062	3846	424	0.05512	0	0	Inbreeding Coefficient	ICSBM
3	1853	3846	772	0.10036	0	0	Inbreeding Coefficient	ICSBM
4	2016	3846	600	0.078	0	0	Inbreeding Coefficient	ICSBM
5	4807	3846	600	0.078	0	0	Inbreeding Coefficient	ICSBM
6	4884	3846	818	0.10634	0	0	Inbreeding Coefficient	ICSBM
7	5349	3846	734	0.09542	0	0	Inbreeding Coefficient	ICSBM
8	5353	3846	854	0.11102	0	0	Inbreeding Coefficient	ICSBM
9	5486	3846	1004	0.13053	0	0	Inbreeding Coefficient	ICSBM
10	5644	3846	1128	0.14665	0	0	Inbreeding Coefficient	ICSBM
11	5741	3846	696	0.09048	0	0	Inbreeding Coefficient	ICSBM
12	5768	3846	1118	0.14535	0	0	Inbreeding Coefficient	ICSBM
13	5784	3846	1378	0.17915	0	0	Inbreeding Coefficient	ICSBM
14	5830	3846	722	0.09386	0	0	Inbreeding Coefficient	ICSBM
15	5832	3846	586	0.07618	0	0	Inbreeding Coefficient	ICSBM
16	5993	3846	1864	0.24233	0	0	Inbreeding Coefficient	ICSBM
17	6009	3846	862	0.11206	0	0	Inbreeding Coefficient	ICSBM
18	6021	3846	528	0.06864	0	0	Inbreeding Coefficient	ICSBM
19	6023	3846	578	0.07514	0	0	Inbreeding Coefficient	ICSBM
20	6034	3846	576	0.07488	0	0	Inbreeding Coefficient	ICSBM
21	6036	3846	1278	0.16615	0	0	Inbreeding Coefficient	ICSBM
22	6038	3846	494	0.06422	0	0	Inbreeding Coefficient	ICSBM
23	6039	3846	1592	0.20697	0	0	Inbreeding Coefficient	ICSBM
24	6073	3846	494	0.06422	0	0	Inbreeding Coefficient	ICSBM
25	6086	3846	516	0.06708	0	0	Inbreeding Coefficient	ICSBM
26	6090	3846	524	0.06812	0	0	Inbreeding Coefficient	ICSBM
27	6094	3846	724	0.09412	0	0	Inbreeding Coefficient	ICSBM
28	6118	3846	420	0.0546	0	0	Inbreeding Coefficient	ICSBM
29	6126	3846	686	0.08918	0	0	Inbreeding Coefficient	ICSBM
30	6128	3846	530	0.0689	0	0	Inbreeding Coefficient	ICSBM
31	6140	3846	694	0.09022	0	0	Inbreeding Coefficient	ICSBM
32	6151	3846	472	0.06136	0	0	Inbreeding Coefficient	ICSBM
33	6153	3846	598	0.07774	0	0	Inbreeding Coefficient	ICSBM
34	6172	3846	592	0.07696	0	0	Inbreeding Coefficient	ICSBM
35	6174	3846	648	0.08424	0	0	Inbreeding Coefficient	ICSBM
36	6192	3846	620	0.0806	0	0	Inbreeding Coefficient	ICSBM
37	6194	3846	436	0.05668	0	0	Inbreeding Coefficient	ICSBM
38	6202	3846	520	0.0676	0	0	Inbreeding Coefficient	ICSBM
39	6217	3846	530	0.0689	0	0	Inbreeding Coefficient	ICSBM
40	6218	3846	430	0.0559	0	0	Inbreeding Coefficient	ICSBM
41	6237	3846	974	0.12663	0	0	Inbreeding Coefficient	ICSBM
42	6242	3846	950	0.1235	0	0	Inbreeding Coefficient	ICSBM
43	6243	3846	764	0.09932	0	0	Inbreeding Coefficient	ICSBM
44	6244	3846	1026	0.13339	0	0	Inbreeding Coefficient	ICSBM
45	6413	3846	926	0.12038	0	0	Inbreeding Coefficient	ICSBM
46	6744	3846	1780	0.23141	0	0	Inbreeding Coefficient	ICSBM
47	6901	3846	1322	0.17187	0	0	Inbreeding Coefficient	ICSBM
48	6992	3846	824	0.10712	0	0	Inbreeding Coefficient	ICSBM
49	7003	3846	752	0.09776	0	0	Inbreeding Coefficient	ICSBM
50	7008	3846	722	0.09386	0	0	Inbreeding Coefficient	ICSBM
51	7025	3846	784	0.10192	0	0	Inbreeding Coefficient	ICSBM
52	7036	3846	480	0.0624	0	0	Inbreeding Coefficient	ICSBM
53	7072	3846	822	0.10686	0	0	Inbreeding Coefficient	ICSBM
54	7103	3846	1080	0.14041	0	0	Inbreeding Coefficient	ICSBM
55	7109	3846	806	0.10478	0	0	Inbreeding Coefficient	ICSBM
56	7138	3846	792	0.10296	0	0	Inbreeding Coefficient	ICSBM
57	7207	3846	850	0.1105	0	0	Inbreeding Coefficient	ICSBM
58	7218	3846	1150	0.14951	0	0	Inbreeding Coefficient	ICSBM
59	7223	3846	1138	0.14795	0	0	Inbreeding Coefficient	ICSBM
60	7231	3846	712	0.09256	0	0	Inbreeding Coefficient	ICSBM
61	7236	3846	1088	0.14145	0	0	Inbreeding Coefficient	ICSBM
62	7255	3846	1192	0.15497	0	0	Inbreeding Coefficient	ICSBM
63	7319	3846	1316	0.17109	0	0	Inbreeding Coefficient	ICSBM
64	7320	3846	1532	0.19917	0	0	Inbreeding Coefficient	ICSBM
65	7333	3846	1308	0.17005	0	0	Inbreeding Coefficient	ICSBM
66	7344	3846	2066	0.26859	0	0	Inbreeding Coefficient	ICSBM
67	7346	3846	610	0.0793	0	0	Inbreeding Coefficient	ICSBM
68	7349	3846	1016	0.13209	0	0	Inbreeding Coefficient	ICSBM
69	7383	3846	680	0.0884	0	0	Inbreeding Coefficient	ICSBM
70	7384	3846	722	0.09386	0	0	Inbreeding Coefficient	ICSBM
71	7387	3846	802	0.10426	0	0	Inbreeding Coefficient	ICSBM
72	7460	3846	998	0.12975	0	0	Inbreeding Coefficient	ICSBM
73	7516	3846	1374	0.17863	0	0	Inbreeding Coefficient	ICSBM
74	8132	3846	760	0.0988	0	0	Inbreeding Coefficient	ICSBM
75	8231	3846	2664	0.34633	0	0	Inbreeding Coefficient	ICSBM
76	8233	3846	1454	0.18903	0	0	Inbreeding Coefficient	ICSBM
77	8234	3846	570	0.0741	0	0	Inbreeding Coefficient	ICSBM
78	8247	3846	1238	0.16095	0	0	Inbreeding Coefficient	ICSBM
79	8264	3846	664	0.08632	0	0	Inbreeding Coefficient	ICSBM
80	8307	3846	376	0.04888	0	0	Inbreeding Coefficient	ICSBM
81	8351	3846	870	0.1131	0	0	Inbreeding Coefficient	ICSBM
82	8354	3846	866	0.11258	0	0	Inbreeding Coefficient	ICSBM
83	8420	3846	928	0.12064	0	0	Inbreeding Coefficient	ICSBM
84	9057	3846	566	0.07358	0	0	Inbreeding Coefficient	ICSBM
85	9067	3846	768	0.09984	0	0	Inbreeding Coefficient	ICSBM
86	9130	3846	874	0.11362	0	0	Inbreeding Coefficient	ICSBM
87	9131	3846	484	0.06292	0	0	Inbreeding Coefficient	ICSBM
88	9321	3846	556	0.07228	0	0	Inbreeding Coefficient	ICSBM
89	9371	3846	480	0.0624	0	0	Inbreeding Coefficient	ICSBM
90	9395	3846	1448	0.18825	0	0	Inbreeding Coefficient	ICSBM
91	9427	3846	532	0.06916	0	0	Inbreeding Coefficient	ICSBM
92	9436	3846	448	0.05824	0	0	Inbreeding Coefficient	ICSBM
93	9470	3846	506	0.06578	0	0	Inbreeding Coefficient	ICSBM
94	9481	3846	596	0.07748	0	0	Inbreeding Coefficient	ICSBM
95	9506	3846	552	0.07176	0	0	Inbreeding Coefficient	ICSBM
96	9517	3846	866	0.11258	0	0	Inbreeding Coefficient	ICSBM
97	9521	3846	564	0.07332	0	0	Inbreeding Coefficient	ICSBM
98	9525	3846	650	0.0845	0	0	Inbreeding Coefficient	ICSBM
99	9534	3846	574	0.07462	0	0	Inbreeding Coefficient	ICSBM
100	9535	3846	564	0.07332	0	0	Inbreeding Coefficient	ICSBM
101	9540	3846	538	0.06994	0	0	Inbreeding Coefficient	ICSBM
102	9543	3846	808	0.10504	0	0	Inbreeding Coefficient	ICSBM
103	9559	3846	730	0.0949	0	0	Inbreeding Coefficient	ICSBM
104	9560	3846	750	0.0975	0	0	Inbreeding Coefficient	ICSBM
105	9562	3846	848	0.11024	0	0	Inbreeding Coefficient	ICSBM
106	9573	3846	490	0.0637	0	0	Inbreeding Coefficient	ICSBM
107	9578	3846	744	0.09672	0	0	Inbreeding Coefficient	ICSBM
108	9617	3846	978	0.12715	0	0	Inbreeding Coefficient	ICSBM
109	9630	3846	870	0.1131	0	0	Inbreeding Coefficient	ICSBM
110	9631	3846	620	0.0806	0	0	Inbreeding Coefficient	ICSBM
111	9634	3846	906	0.11778	0	0	Inbreeding Coefficient	ICSBM
112	9635	3846	812	0.10556	0	0	Inbreeding Coefficient	ICSBM
113	9637	3846	860	0.1118	0	0	Inbreeding Coefficient	ICSBM
114	9638	3846	904	0.11752	0	0	Inbreeding Coefficient	ICSBM
115	9640	3846	728	0.09464	0	0	Inbreeding Coefficient	ICSBM
116	9641	3846	624	0.08112	0	0	Inbreeding Coefficient	ICSBM
117	9649	3846	696	0.09048	0	0	Inbreeding Coefficient	ICSBM
118	9672	3846	702	0.09126	0	0	Inbreeding Coefficient	ICSBM
119	9679	3846	688	0.08944	0	0	Inbreeding Coefficient	ICSBM
120	9684	3846	610	0.0793	0	0	Inbreeding Coefficient	ICSBM
121	9689	3846	444	0.05772	0	0	Inbreeding Coefficient	ICSBM
122	9705	3846	556	0.07228	0	0	Inbreeding Coefficient	ICSBM
123	9706	3846	788	0.10244	0	0	Inbreeding Coefficient	ICSBM
124	9709	3846	554	0.07202	0	0	Inbreeding Coefficient	ICSBM
125	9721	3846	872	0.11336	0	0	Inbreeding Coefficient	ICSBM
126	9730	3846	646	0.08398	0	0	Inbreeding Coefficient	ICSBM
127	9733	3846	696	0.09048	0	0	Inbreeding Coefficient	ICSBM
128	9737	3846	902	0.11726	0	0	Inbreeding Coefficient	ICSBM
129	9738	3846	882	0.11466	0	0	Inbreeding Coefficient	ICSBM
130	9739	3846	728	0.09464	0	0	Inbreeding Coefficient	ICSBM
131	9770	3846	598	0.07774	0	0	Inbreeding Coefficient	ICSBM
132	9772	3846	452	0.05876	0	0	Inbreeding Coefficient	ICSBM
133	9783	3846	530	0.0689	0	0	Inbreeding Coefficient	ICSBM
134	9789	3846	426	0.05538	0	0	Inbreeding Coefficient	ICSBM
135	9804	3846	498	0.06474	0	0	Inbreeding Coefficient	ICSBM
136	9808	3846	526	0.06838	0	0	Inbreeding Coefficient	ICSBM
137	9812	3846	834	0.10842	0	0	Inbreeding Coefficient	ICSBM
138	9813	3846	968	0.12585	0	0	Inbreeding Coefficient	ICSBM
139	9814	3846	1014	0.13183	0	0	Inbreeding Coefficient	ICSBM
140	9816	3846	1406	0.18279	0	0	Inbreeding Coefficient	ICSBM
141	9817	3846	764	0.09932	0	0	Inbreeding Coefficient	ICSBM
142	9823	3846	1148	0.14925	0	0	Inbreeding Coefficient	ICSBM
143	9827	3846	626	0.08138	0	0	Inbreeding Coefficient	ICSBM
144	9832	3846	972	0.12637	0	0	Inbreeding Coefficient	ICSBM
145	9839	3846	766	0.09958	0	0	Inbreeding Coefficient	ICSBM
146	9840	3846	730	0.0949	0	0	Inbreeding Coefficient	ICSBM
147	9846	3846	706	0.09178	0	0	Inbreeding Coefficient	ICSBM
148	9852	3846	816	0.10608	0	0	Inbreeding Coefficient	ICSBM
149	9853	3846	764	0.09932	0	0	Inbreeding Coefficient	ICSBM
150	9864	3846	1260	0.16381	0	0	Inbreeding Coefficient	ICSBM
151	9874	3846	674	0.08762	0	0	Inbreeding Coefficient	ICSBM
152	9890	3846	856	0.11128	0	0	Inbreeding Coefficient	ICSBM
153	9894	3846	872	0.11336	0	0	Inbreeding Coefficient	ICSBM
154	9903	3846	994	0.12923	0	0	Inbreeding Coefficient	ICSBM
155	9906	3846	784	0.10192	0	0	Inbreeding Coefficient	ICSBM
156	9911	3846	476	0.06188	0	0	Inbreeding Coefficient	ICSBM
157	9925	3846	756	0.09828	0	0	Inbreeding Coefficient	ICSBM
158	9937	3846	490	0.0637	0	0	Inbreeding Coefficient	ICSBM
159	9938	3846	758	0.09854	0	0	Inbreeding Coefficient	ICSBM
160	9958	3846	1128	0.14665	0	0	Inbreeding Coefficient	ICSBM
161	9962	3846	2618	0.34035	0	0	Inbreeding Coefficient	ICSBM
162	9970	3846	3746	0.487	0	0	Inbreeding Coefficient	ICSBM
163	9979	3846	1268	0.16485	0	0	Inbreeding Coefficient	ICSBM
164	9987	3846	2336	0.30369	0	0	Inbreeding Coefficient	ICSBM
165	9997	3846	1296	0.16849	0	0	Inbreeding Coefficient	ICSBM
166	9998	3846	1658	0.21555	0	0	Inbreeding Coefficient	ICSBM
167	10001	3846	1944	0.25273	0	0	Inbreeding Coefficient	ICSBM
168	10013	3846	2960	0.38482	0	0	Inbreeding Coefficient	ICSBM
169	10022	3846	1484	0.19293	0	0	Inbreeding Coefficient	ICSBM
