Taxa	Taxa Name	Number of Sites	Gametes Missing	Proportion Missing	Number Heterozygous	Proportion Heterozygous	Inbreeding Coefficient	Inbreeding Coefficient Scaled by Missing
0	33-16:250047984	27535	10520	0.19103	36	0.00162	Inbreeding Coefficient	ICSBM
1	38-11:250040073	27535	7738	0.14051	62	0.00262	Inbreeding Coefficient	ICSBM
2	4226:250040088	27535	14300	0.25967	57	0.0028	Inbreeding Coefficient	ICSBM
3	4722:250040158	27535	12198	0.2215	67	0.00313	Inbreeding Coefficient	ICSBM
4	A188:250040019	27535	13922	0.25281	15	7.2908E-4	Inbreeding Coefficient	ICSBM
5	A214N:250040084	27535	8982	0.1631	47	0.00204	Inbreeding Coefficient	ICSBM
6	A239:250047930	27535	11752	0.2134	19	8.7723E-4	Inbreeding Coefficient	ICSBM
7	A272:250047954	27535	21200	0.38496	219	0.01293	Inbreeding Coefficient	ICSBM
8	A441-5:250040026	27535	15598	0.28324	147	0.00745	Inbreeding Coefficient	ICSBM
9	A554:250039788	27535	11498	0.20879	11	5.0491E-4	Inbreeding Coefficient	ICSBM
10	A556:250040185	27535	12786	0.23218	31	0.00147	Inbreeding Coefficient	ICSBM
11	A619:250047940	27535	6160	0.11186	7	2.8624E-4	Inbreeding Coefficient	ICSBM
12	A632:250047950	27535	5298	0.0962	36	0.00145	Inbreeding Coefficient	ICSBM
13	A634:250040129	27535	6148	0.11164	29	0.00119	Inbreeding Coefficient	ICSBM
14	A635:250040198	27535	5418	0.09838	33	0.00133	Inbreeding Coefficient	ICSBM
15	A641:250040046	27535	10996	0.19967	25	0.00113	Inbreeding Coefficient	ICSBM
16	A654:250048009	27535	8908	0.16176	71	0.00308	Inbreeding Coefficient	ICSBM
17	A659:250039829	27535	11994	0.2178	47	0.00218	Inbreeding Coefficient	ICSBM
18	A661:250040149	27535	12160	0.22081	17	7.9236E-4	Inbreeding Coefficient	ICSBM
19	A679:250040001	27535	4646	0.08437	13	5.1563E-4	Inbreeding Coefficient	ICSBM
20	A680:250047931	27535	2624	0.04765	43	0.00164	Inbreeding Coefficient	ICSBM
21	A682:250047957	27535	6790	0.1233	47	0.00195	Inbreeding Coefficient	ICSBM
22	A6:250040034	27535	11744	0.21326	73	0.00337	Inbreeding Coefficient	ICSBM
23	Ab28A:250040159	27535	12778	0.23203	73	0.00345	Inbreeding Coefficient	ICSBM
24	B103:250040806	27535	8098	0.14705	50	0.00213	Inbreeding Coefficient	ICSBM
25	B104:250047938	27535	7332	0.13314	22	9.217E-4	Inbreeding Coefficient	ICSBM
26	B105:250040023	27535	11124	0.202	59	0.00269	Inbreeding Coefficient	ICSBM
27	B109:250039749	27535	3600	0.06537	33	0.00128	Inbreeding Coefficient	ICSBM
28	B10:250047991	27535	9158	0.1663	32	0.00139	Inbreeding Coefficient	ICSBM
29	B115:250040029	27535	16404	0.29788	39	0.00202	Inbreeding Coefficient	ICSBM
30	B14A:250040044	27535	3920	0.07118	18	7.0381E-4	Inbreeding Coefficient	ICSBM
31	B164:250040176	27535	12084	0.21943	86	0.004	Inbreeding Coefficient	ICSBM
32	B2-good:250040187	27535	10006	0.1817	62	0.00275	Inbreeding Coefficient	ICSBM
33	B37:250040081	27535	5102	0.09265	62	0.00248	Inbreeding Coefficient	ICSBM
34	B46:250040209	27535	8674	0.15751	40	0.00172	Inbreeding Coefficient	ICSBM
35	B52:250040039	27535	12504	0.22706	42	0.00197	Inbreeding Coefficient	ICSBM
36	B57:250040068	27535	15372	0.27914	45	0.00227	Inbreeding Coefficient	ICSBM
37	B64:250040027	27535	6846	0.12431	22	9.1241E-4	Inbreeding Coefficient	ICSBM
38	B68:250040182	27535	5492	0.09973	29	0.00117	Inbreeding Coefficient	ICSBM
39	B73:250040827	27535	1250	0.0227	34	0.00126	Inbreeding Coefficient	ICSBM
40	B73Htrhm:250039750	27535	1604	0.02913	11	4.1148E-4	Inbreeding Coefficient	ICSBM
41	B75:250040146	27535	10790	0.19593	83	0.00375	Inbreeding Coefficient	ICSBM
42	B76:250047994	27535	6904	0.12537	37	0.00154	Inbreeding Coefficient	ICSBM
43	B77:250047998	27535	14664	0.26628	23	0.00114	Inbreeding Coefficient	ICSBM
44	B79:250040167	27535	10362	0.18816	68	0.00304	Inbreeding Coefficient	ICSBM
45	B84:250047993	27535	7838	0.14233	49	0.00207	Inbreeding Coefficient	ICSBM
46	B97:250040809	27535	6652	0.12079	83	0.00343	Inbreeding Coefficient	ICSBM
47	C103:250048011	27535	8594	0.15606	87	0.00374	Inbreeding Coefficient	ICSBM
48	C123:250040062	27535	9858	0.17901	30	0.00133	Inbreeding Coefficient	ICSBM
49	C49A:250040127	27535	12350	0.22426	27	0.00126	Inbreeding Coefficient	ICSBM
