<Phenotype>				
taxa	data	data	data	data
Taxa	BranchNum	DTA	NIRProtein	FER
33-16:250047984	26.89227011	79.5315	13.7958	2.9347
38-11:250040073	23.50538594	81.4351	15.8186	3.316
4226:250040088	27.4211872	70.1606	14.2701	2.6481
4722:250040158	23.29043984	79.8069	14.1021	3.5521
A188:250040019	26.57527274	65.5201	14.572	3.9749
A214N:250040084	19.18839159	88.3239	12.8305	2.9739
A239:250047930	17.55479231	71.6431	12.8526	3.5963
A272:250047954	23.03287521	73.7469	NA	2.9843
A441-5:250040026	24.53287244	79.9385	14.0993	3.2459
A554:250039788	21.86415954	64.447	16.1615	3.2386
A556:250040185	19.05543365	69.1239	12.9213	3.0939
A6:250040034	26.8882704	88.6308	14.0811	1.998
A619:250047940	20.54143245	71.7472	13.8584	3.4276
A632:250047950	19.81164384	69.6655	13.9388	3.0087
A634:250040129	16.7388033	70.0445	15.4798	3.5926
A635:250040198	20.61550251	73.8277	13.6656	3.1515
A641:250040046	16.16130514	66.2311	13.5831	2.7448
A654:250048009	15.73112063	64.1379	15.3962	2.9067
A659:250039829	20.90966077	66.274	14.8498	3.4541
A661:250040149	17.01858798	64.8066	15.5022	3.2662
A679:250040001	19.2914209	69.9	14.4619	3.1755
A680:250047931	19.18958806	75.4611	13.1849	2.9334
A682:250047957	15.47831397	67.4942	12.463	1.9521
Ab28A:250040159	23.07427637	85.5637	15.1159	2.6586
B10:250047991	23.85031883	78.2086	13.3084	2.6029
B103:250040806	6.03897859	70.52	13.9632	3.435
B104:250047938	21.48052752	74.312	11.874	3.0486
B105:250040023	22.76926841	77.5288	14.1842	3.5364
B109:250039749	18.84989871	73.7693	14.2273	2.6934
B115:250040029	25.6709724	77.3684	14.5472	3.3981
B14A:250040044	18.46630998	73.5596	14.6848	3.5262
B164:250040176	26.20851661	71.6965	13.0559	3.1699
B2-good:250040187	22.44404312	72.9599	17.4596	3.8015
B37:250040081	19.98964595	74.3541	13.4238	3.1643
B46:250040209	21.11890107	74.8401	14.4645	3.6157
B52:250040039	17.67474155	80.7843	14.0232	3.6363
B57:250040068	28.46963946	73.4952	13.9834	3.2105
B64:250040027	15.59621594	62.5524	13.9785	2.8959
B68:250040182	22.5218637	77.2087	14.4094	3.5218
B73:250040827	NA	73.9506	13.0576	3.1841
B73Htrhm:250039750	18.01961339	75.0228	13.9805	2.9429
